name,address,Latitude,Longitude
札幌運転免許試験場,北海道札幌市手稲区曙5条4-1-1,43.1357706,141.2297457
函館運転免許試験場,北海道函館市石川町149-23,41.8342865,140.7429799
旭川運転免許試験場,北海道旭川市近文町17丁目2699-5,43.7856152,142.3265009
釧路運転免許試験場,北海道釧路市大楽毛北1丁目15-8,43.0159542,144.2968879
帯広運転免許試験場,北海道帯広市西19条北2丁目,42.9360034,143.1514904
北見運転免許試験場,北海道北見市大正141番地の1,43.8074173,143.8284356
青森県運転免許センター,青森県青森市大字三内字丸山198-4,40.813727,140.698427
八戸運転免許試験場,青森県八戸市城下1丁目16-25,40.517347,141.4916214
弘前自動車運転免許試験場,青森県弘前市大字大久保字西田38-2,40.6270588,140.4895516
むつ自動車運転免許試験場,青森県むつ市中央1丁目19-1,41.2942866,141.181762
盛岡運転免許センター,岩手県盛岡市盛岡駅西通一丁目7-1,39.7021874,141.1331667
沿岸運転免許センター,岩手県釜石市中妻町3-3-1,39.2704808,141.8561943
県南運転免許センター,岩手県胆沢郡金ヶ崎町西根北荒巻100-2,39.2214136,141.0944696
県北運転免許センター,岩手県久慈市川崎町2-1,40.1902857,141.774201
自動車運転免許試験場,岩手県盛岡市下田字仲平183,39.851539,141.1123889
秋田県警察運転免許センター,秋田県秋田市新屋南浜町12-1,39.6968361,140.0735602
山形県総合交通安全センター,山形県天童市高擶1300,38.3352977,140.3435276
宮城県運転免許センター,宮城県仙台市泉区市名坂字高倉65,38.3131264,140.9060971
古川運転免許センター,宮城県大崎市古川大宮3丁目4-30,38.587339,140.9533619
仙南運転免許センター,宮城県柴田郡大河原町字南平3-1,38.0411125,140.7169768
石巻運転免許センター,宮城県東松島市赤井字南一134,38.4336416,141.2543341
福島運転免許センター,福島県福島市町庭坂字大原1-1,37.7768423,140.3915991
郡山運転免許センター,福島県郡山市大槻町字美女池上14-6,37.3754858,140.3170203
茨城県警察運転免許センター,茨城県東茨城郡茨城町長岡3783-3,36.3121185,140.460223
運転免許センター,栃木県鹿沼市下石川681,36.5087214,139.8018674
総合交通センター,群馬県前橋市元総社町80-4,36.3801255,139.0409176
運転免許センター,埼玉県鴻巣市鴻巣405-4,36.0699787,139.5228164
千葉運転免許センター,千葉県千葉市美浜区浜田2-1,35.6558169,140.0338045
流山運転免許センター,千葉県流山市前ヶ崎217,35.8497342,139.9310879
府中運転免許試験場,東京都府中市多磨町3-1-1,35.6885324,139.5150197
鮫州運転免許試験場,東京都品川区東大井1-12-5,35.6039273,139.7464564
江東運転免許試験場,東京都江東区新砂1-7-24,35.6688999,139.8226519
神奈川県警察運転免許センター,神奈川県横浜市旭区中尾1-1-1,35.4673964,139.5239936
山梨県総合交通センター,山梨県南アルプス市下高砂825,35.6497188,138.4984843
北信運転免許センター,長野県長野市川中島町原704-2,36.582272,138.1510223
中南信運転免許センター,長野県塩尻市大字宗賀字桔梗ヶ原73-116,36.1131339,137.9344875
東信運転免許センター,長野県佐久市協和131-1,36.2635536,138.3558308
運転免許センター,新潟県北蒲原郡聖籠町東港7-1-1,37.9786575,139.2532648
運転免許センター長岡支所,新潟県長岡市上前島1-7-1,37.395094,138.8251787
運転免許センター上越支所,新潟県上越市柿崎区直海浜1174-3,37.2658215,138.37803
運転免許センター佐渡支所,新潟県佐渡市中原350-1,38.0051624,138.3192757
中部運転免許センター,静岡県静岡市葵区与一6-16-1,35.0163701,138.3713998
東部運転免許センター,静岡県沼津市足高尾上241-10,35.1472738,138.8542829
西部運転免許センター,静岡県浜松市浜北区小松3220,34.7828721,137.7685398
運転免許試験場,愛知県名古屋市天白区平針南三丁目605番地,35.1066746,137.0069334
東三河運転免許センター,愛知県豊川市金屋西町2-7,34.8268379,137.3789533
三重県運転免許センター,三重県津市垂水2566,34.6903325,136.4920514
岐阜試験場,岐阜県岐阜市三田洞東1丁目22番8号,35.4795489,136.7948342
多治見試験場（多治見運転者講習センター）,岐阜県多治見市美坂町4丁目6番地,35.3297523,137.14537
高山試験場（飛騨運転者講習センター）,岐阜県高山市大新町5-68-1,36.1534481,137.2567655
東濃試験場（東濃運転者講習センター）,岐阜県中津川市茄子川1127番地1,35.4629148,137.4409181
富山県運転教育センター,富山県富山市高島62-1,36.732962,137.2647692
運転免許センター,石川県金沢市東蚊爪町2-1,36.63653,136.6602023
福井県運転者教育センター,福井県坂井市春江町針原58-10,36.1260374,136.2089996
福井県嶺南運転者教育センター,福井県三方上中郡若狭町配布1-51,35.5491889,135.9085412
