code,population
N00_000," 126,146,099 "
N01_000," 5,224,614 "
N01_100," 1,973,395 "
N01_101," 248,680 "
N01_102," 289,323 "
N01_103," 265,379 "
N01_104," 211,835 "
N01_105," 225,298 "
N01_106," 135,777 "
N01_107," 217,040 "
N01_108," 125,083 "
N01_109," 142,625 "
N01_110," 112,355 "
N01_202," 251,084 "
N01_203," 111,299 "
N01_204," 329,306 "
N01_205," 82,383 "
N01_206," 165,077 "
N01_207," 166,536 "
N01_208," 115,480 "
N01_209," 7,334 "
N01_210," 79,306 "
N01_211," 35,759 "
N01_212," 20,114 "
N01_213," 170,113 "
N01_214," 33,563 "
N01_215," 20,413 "
N01_216," 12,555 "
N01_217," 121,056 "
N01_218," 9,698 "
N01_219," 21,215 "
N01_220," 17,858 "
N01_221," 27,282 "
N01_222," 8,040 "
N01_223," 24,636 "
N01_224," 97,950 "
N01_225," 39,490 "
N01_226," 16,486 "
N01_227," 2,989 "
N01_228," 20,039 "
N01_229," 21,131 "
N01_230," 46,391 "
N01_231," 70,331 "
N01_233," 32,826 "
N01_234," 58,171 "
N01_235," 56,869 "
N01_236," 44,302 "
N01_303," 15,916 "
N01_304," 3,044 "
N01_331," 6,260 "
N01_332," 3,794 "
N01_333," 4,167 "
N01_334," 3,832 "
N01_337," 27,686 "
N01_343," 3,760 "
N01_345," 14,338 "
N01_346," 15,826 "
N01_347," 5,109 "
N01_361," 7,428 "
N01_362," 4,306 "
N01_363," 3,592 "
N01_364," 3,403 "
N01_367," 2,410 "
N01_370," 5,072 "
N01_371," 7,398 "
N01_391," 1,356 "
N01_392," 2,838 "
N01_393," 2,791 "
N01_394," 4,568 "
N01_395," 5,074 "
N01_396," 2,045 "
N01_397," 1,911 "
N01_398," 2,156 "
N01_399," 2,941 "
N01_400," 15,129 "
N01_401," 5,772 "
N01_402," 11,648 "
N01_403," 1,569 "
N01_404, 870 
N01_405," 1,831 "
N01_406," 2,745 "
N01_407," 3,180 "
N01_408," 18,000 "
N01_409," 1,165 "
N01_423," 7,319 "
N01_424," 5,120 "
N01_425," 2,841 "
N01_427," 4,822 "
N01_428," 10,289 "
N01_429," 11,272 "
N01_430," 3,691 "
N01_431," 1,732 "
N01_432," 6,484 "
N01_433," 2,693 "
N01_434," 2,329 "
N01_436," 2,389 "
N01_437," 1,724 "
N01_438," 2,909 "
N01_452," 6,567 "
N01_453," 10,127 "
N01_454," 6,319 "
N01_455," 3,520 "
N01_456," 2,605 "
N01_457," 3,500 "
N01_458," 8,314 "
N01_459," 9,668 "
N01_460," 10,348 "
N01_461," 4,733 "
N01_462," 2,376 "
N01_463," 1,306 "
N01_464," 3,192 "
N01_465," 2,926 "
N01_468," 3,126 "
N01_469," 4,145 "
N01_470, 706 
N01_471," 1,528 "
N01_472," 1,370 "
N01_481," 3,908 "
N01_482," 2,994 "
N01_483," 2,936 "
N01_484," 6,548 "
N01_485," 1,080 "
N01_486," 2,520 "
N01_487," 2,950 "
N01_511," 2,611 "
N01_512," 3,448 "
N01_513," 1,637 "
N01_514," 7,565 "
N01_516," 3,974 "
N01_517," 2,509 "
N01_518," 2,004 "
N01_519," 2,458 "
N01_520," 2,371 "
N01_543," 18,697 "
N01_544," 4,373 "
N01_545," 11,418 "
N01_546," 3,883 "
N01_547," 4,623 "
N01_549," 4,677 "
N01_550," 2,775 "
N01_552," 4,875 "
N01_555," 19,241 "
N01_559," 8,270 "
N01_560," 2,421 "
N01_561," 3,628 "
N01_562," 1,053 "
N01_563," 4,199 "
N01_564," 6,775 "
N01_571," 3,821 "
N01_575," 2,743 "
N01_578," 16,212 "
N01_581," 4,432 "
N01_584," 8,442 "
N01_585," 7,340 "
N01_586," 7,651 "
N01_601," 11,279 "
N01_602," 4,776 "
N01_604," 5,309 "
N01_607," 12,074 "
N01_608," 4,043 "
N01_609," 4,374 "
N01_610," 21,517 "
N01_631," 43,576 "
N01_632," 5,848 "
N01_633," 4,778 "
N01_634," 5,266 "
N01_635," 5,817 "
N01_636," 9,094 "
N01_637," 18,048 "
N01_638," 3,884 "
N01_639," 3,080 "
N01_641," 5,420 "
N01_642," 6,387 "
N01_643," 25,766 "
N01_644," 6,294 "
N01_645," 3,022 "
N01_646," 6,618 "
N01_647," 6,563 "
N01_648," 2,264 "
N01_649," 4,387 "
N01_661," 19,105 "
N01_662," 8,892 "
N01_663," 5,507 "
N01_664," 7,230 "
N01_665," 6,955 "
N01_667," 2,558 "
N01_668," 7,289 "
N01_691," 14,380 "
N01_692," 23,010 "
N01_693," 5,023 "
N01_694," 4,722 "
N02_000," 1,237,984 "
N02_201," 275,192 "
N02_202," 168,466 "
N02_203," 223,415 "
N02_204," 31,946 "
N02_205," 51,415 "
N02_206," 60,378 "
N02_207," 39,152 "
